ticket_id,customer_id,channel,category,subcategory,priority_hint,churn_risk_hint,subject,body,created_at
TKT-54684,CUST-4513,phone,Refund,Refund > refund status,low,low,Refund status inquiry,I was told I'd receive my refund in 5-7 business days. It's been 15 days now. Your customer service keeps giving me different answers. I want a supervisor. Thanks for looking into this.,2026-04-06 08:21:23
TKT-52882,CUST-5126,email,Shipping,Shipping > tracking issue,low,high,Where is my order?,I'm really frustrated at this point. My order was supposed to arrive 5 days ago. The tracking hasn't updated in a week. I paid for express shipping and this is completely unacceptable. I need this delivered by tomorrow. I really hope this gets resolved soon because I'm at my wit's end. I'm seriously considering cancelling my subscription,2026-03-31 00:55:23
TKT-98330,CUST-5022,web,Billing,Billing > wrong amount,high,medium,Subscription cancellation issue,This is absolutely ridiculous! The amount charged to my card doesn't match what was advertised. I signed up for the $75 plan but was charged $133. Your pricing is misleading and I want a refund for the difference. Fix this NOW or there will be consequences!,2026-04-13 05:35:23
TKT-83971,CUST-7094,phone,Account,Account > account locked,high,medium,Password reset not working,This is absolutely ridiculous! I need to change the email on my account but there's no option in settings. The old email is being decommissioned by my company. Please help me update this urgently. Fix this NOW or there will be consequences!,2026-04-15 20:21:23
TKT-93409,CUST-1636,email,Account,Account > account locked,low,low,Account locked unexpectedly,Someone changed my profile information without authorization. My phone number and address are different from what I set. I'm concerned about account security. Thanks for looking into this.,2026-03-27 16:03:23
TKT-95488,CUST-4216,email,Refund,Refund > refund denied,high,low,Refund status inquiry,URGENT - NEED IMMEDIATE ASSISTANCE! My refund was denied even though I qualify under your policy. I cancelled within the 30-day window. This is false advertising and I'm considering a chargeback. Please respond within the hour!,2026-04-01 00:17:23
TKT-22375,CUST-4411,chat,Billing,Billing > duplicate charge,low,low,Unauthorized transaction,I'm on the highest tier plan and this is unacceptable. I've been trying to get a refund for over two weeks now. I cancelled my subscription within the trial period but still got charged. This is unacceptable customer service. Thanks for looking into this.,2026-03-29 16:00:23
TKT-60384,CUST-2439,chat,Feature Request,Feature Request > integration request,low,low,Offline mode needed,"Hi, I hope you can help me with this. I love your product but it really needs a dark mode option. My eyes strain when using it at night. This is a basic feature that all competitors already have. Thank you so much for your help!",2026-03-18 01:21:23
TKT-66827,CUST-2561,chat,Account,Account > profile update,low,low,Profile update failing,I'm on the highest tier plan and this is unacceptable. My account has been locked and I don't know why. I haven't violated any terms. I need access for work tomorrow morning. This is a critical issue for my business. Thanks for looking into this.,2026-04-01 15:02:23
TKT-22033,CUST-5717,phone,Feature Request,Feature Request > improvement suggestion,low,high,Dashboard customization,I'm really frustrated at this point. Could you add integration with Slack? Our team uses Slack for everything and having notifications there would improve our workflow significantly. I really hope this gets resolved soon because I'm at my wit's end. My company is evaluating other options because of issues like this,2026-04-01 16:42:23
TKT-62387,CUST-8146,email,Refund,Refund > refund status,low,low,Refund status inquiry,I was only partially refunded. The amount in my account is less than what I was supposed to get back. There's a discrepancy of $154 that needs to be addressed. Thanks for looking into this.,2026-04-13 18:45:23
TKT-70494,CUST-4043,phone,Shipping,Shipping > damaged package,low,low,Damaged package,"Hi, I hope you can help me with this. The tracking number you provided doesn't work. It says 'invalid tracking ID' on the courier website. How am I supposed to know where my package is? This is poor communication. Thank you so much for your help!",2026-04-10 06:37:23
TKT-91684,CUST-7771,chat,Shipping,Shipping > tracking issue,low,low,International shipping delay,"Hi, I hope you can help me with this. It's been 3 weeks and my international order still hasn't cleared customs. Your website said 7-10 business days. I need this for an event next week. What's happening? Thank you so much for your help!",2026-03-28 08:24:23
TKT-68678,CUST-2442,chat,Billing,Billing > refund request,low,low,Billing discrepancy,"Hi, I hope you can help me with this. I was charged twice for my subscription this month. My account shows two transactions of $183 on 2026-04-09. I need this fixed immediately as it's affecting my bank balance. This is the second time this has happened. Thank you so much for your help!",2026-03-30 23:44:23
TKT-82656,CUST-8417,phone,Feature Request,Feature Request > new feature ask,high,medium,Offline mode needed,This is absolutely ridiculous! Could you add integration with Slack? Our team uses Slack for everything and having notifications there would improve our workflow significantly. Fix this NOW or there will be consequences!,2026-03-23 03:25:23
